QuestionNumber,DOK,Standard,Desc,CorrectAnswer,"ALSTON, VICTORIA","AMY-RUIZ, JONATHAN","BARR, A'MARI","BODIE, JONATHAN","CAIN, KI'NYJAH","CASTILLOMORILLO, ANGELID","CAWLEY, SARAH","CHESTNUTT, SAVANNAH","CIPOLLA, MARIANO","DAMES, QUINDARIUS","DAVIS, JAKAYLA","DAYTON, HAILEY","DOWNER, JUSTIN","FERNANDEZ, SABRINA","FIGUEROA, LUIS","GARCIAOSPINA, JUAN","GERLACH, CARTER","GIBILISCO, MICHELE","GILL, GIULIANI","HARMON, CHARLES","HAWKINS, ANTHONY","HOSKINS, ASHTON","JOHNSON, HUNTER","JOSEPH, JACOB","JOSHI, NEHA","LEE, LACEY","LEPAK, NICHOLAS","LINDIG, DAVID","LOBOORDONEZ, EVELIN","MALDONADO-GONZALEZ, EVAN","MARTIN, LUCIANNA","MARTINEZ-ORTIZ, BENMARY","MATTHEW, JAHEEM","MCAULEY, FINN","MERCADO, RICHARD","MIXSON, JASON","MUNIZ, DEANTHONY","OLIVAREZ, JUAN","PEREZ, ISAIAH","PEREZBRAVO, RODIMIRO","PETTIGREW, ZYN","POWELL, VALENCIA","RAMOS, NASHAN","RIVETTE, GISELE","RODRIGUEZ, KENEDY","RODRIGUEZTORRES, RONI","SANCHEZ-MELO, LUIS","SANDERS, BRYANNA","SNEAD, EVAN","SORRENTINO, GIOVANNI","TAYLOR, KENNETH","TEJEDA, ANTONIO","THARP, TRISTAN","THOMAS, TERRIYONA","TREFFILETTI, SOFIA","TURNER, LAILA","VELANDIA, ROGER","WELLS, ALICIA","YACOUB, AL-NOUR","YACOUB, MOHAMAD",PercentCorrect
,,Geometry-Congruence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Moderate,MAFS.912.G-CO.1.2,"Representtransformationsintheplaneusing, e.g., transparenciesandgeometrysoftware;describetransformationsasfunctionsthattakepointsintheplaneasinputsandgiveotherpointsasoutputs.Comparetransformationsthatpreservedistanceandangletothosethatdonot(e.g., translationversushorizontalstretch).",D,A,,C,C,,,,,C,B,C,,,C,B,B,,B,B,,,C,C,A,B,B,,B,,,B,,B,,,B,,,C,B,,C,,B,B,B,,B,C,A,,,,C,,,A,B,,C,45%
5,Moderate,MAFS.912.G-CO.1.2,"Representtransformationsintheplaneusing, e.g., transparenciesandgeometrysoftware;describetransformationsasfunctionsthattakepointsintheplaneasinputsandgiveotherpointsasoutputs.Comparetransformationsthatpreservedistanceandangletothosethatdonot(e.g., translationversushorizontalstretch).",A,C,B,D,D,C,,,C,B,,,C,C,B,,,,D,C,D,C,B,B,C,C,D,D,B,D,,B,D,B,,C,C,,B,B,D,B,,C,B,,,B,D,B,B,C,C,C,D,C,C,C,B,,C,23%
6,Moderate,MAFS.912.G-CO.1.3,"Givenarectangle, parallelogram, trapezoid, orregularpolygon, describetherotationsandreflectionsthatcarryitontoitself.",B,D,C,,,A,,A,,D,,A,A,D,,A,A,D,A,,D,,,D,A,,A,A,C,A,D,C,A,D,,D,,A,A,,A,C,A,C,,,C,,,,,A,,,C,,,D,A,D,D,38%
7,Moderate,MAFS.912.G-CO.1.3,"Givenarectangle, parallelogram, trapezoid, orregularpolygon, describetherotationsandreflectionsthatcarryitontoitself.",D,C,C,B,,B,A,,,A,A,,,A,A,,,,,C,B,C,A,B,,,B,B,,,A,,B,A,A,B,,B,,A,,C,B,,C,A,B,C,B,A,,,C,A,,,A,,,,B,42%
8,Moderate,MAFS.912.G-CO.1.3,"Givenarectangle, parallelogram, trapezoid, orregularpolygon, describetherotationsandreflectionsthatcarryitontoitself.",D,C,,A,A,,,B,A,B,A,B,,,,,A,B,C,C,,B,,B,A,B,,B,C,C,C,B,B,C,,,B,,B,,C,C,,,B,,,,,,,,B,B,C,,,A,A,,C,43%
9,High,MAFS.912.G-CO.1.3,"Givenarectangle, parallelogram, trapezoid, orregularpolygon, describetherotationsandreflectionsthatcarryitontoitself.",C,B,B,,,D,,D,,B,,D,B,,,B,,B,,D,,B,,,B,D,B,,,D,D,D,A,B,,,D,,A,A,B,,D,D,,B,B,B,,,A,,D,,D,A,B,B,,D,B,40%
10,Moderate,MAFS.912.G-CO.1.4,"Developdefinitionsofrotations, reflections, andtranslationsintermsofangles, circles, perpendicularlines, parallellines, andlinesegments.",B,D,A,C,D,,,,A,A,,A,D,D,,D,A,,,,D,,,A,D,,,A,D,C,A,D,A,D,D,,A,A,,C,D,,,,,,C,,C,,D,D,D,D,D,,A,,C,,D,40%
11,Moderate,MAFS.912.G-CO.1.4,"Developdefinitionsofrotations, reflections, andtranslationsintermsofangles, circles, perpendicularlines, parallellines, andlinesegments.",C,D,,D,D,,,B,,D,A,B,B,,B,B,,B,,B,A,,A,,,A,B,,A,A,,A,,A,A,,A,B,B,A,B,B,B,B,A,B,B,B,D,B,B,A,,A,D,B,A,B,,A,D,27%
12,High,MAFS.912.G-CO.1.4,"Developdefinitionsofrotations, reflections, andtranslationsintermsofangles, circles, perpendicularlines, parallellines, andlinesegments.",B,,D,,A,A,,A,,,D,D,,A,D,C,A,,C,C,A,A,,A,D,C,C,A,C,A,C,,A,,,C,,D,A,A,A,C,A,C,,,,,D,,D,,,A,A,,D,,,,A,38%
13,Moderate,MAFS.912.G-CO.1.5,"Givenageometricfigureandarotation, reflection, ortranslation, drawthetransformedfigureusing, e.g., graphpaper, tracingpaper, orgeometrysoftware.Specifyasequenceoftransformationsthatwillcarryagivenfigureontoanother.",A,B,B,B,B,B,,B,,,C,B,B,B,D,C,,,B,D,D,B,D,D,B,B,,B,,B,D,B,B,B,B,D,C,,C,C,,B,C,D,B,C,,C,B,D,B,,D,B,B,B,C,D,B,B,B,18%
14,High,MAFS.912.G-CO.1.5,"Givenageometricfigureandarotation, reflection, ortranslation, drawthetransformedfigureusing, e.g., graphpaper, tracingpaper, orgeometrysoftware.Specifyasequenceoftransformationsthatwillcarryagivenfigureontoanother.",D,C,C,B,B,A,A,B,B,C,A,,C,,C,C,A,B,,B,C,,C,B,,C,B,B,B,,A,A,A,B,B,,C,,C,C,,C,A,C,B,C,B,C,,C,,,B,A,C,B,A,A,,C,,23%
